constellation name,star name,nomenclature name,equinox,right ascension hours,right ascension minutes,right ascension seconds,declination degrees,declination minutes,declination seconds,motion in right ascension,motion in declination,radial velocity,annual parallax,magnitude,Durchmusterung zone 1900,Durchmusterung number,
Aries,,nuAri,ICRS,2,38,48.9945,21,57,41.07,-0.0472,-1.512,8,0.00941,5.3,21,362,
Aries,,siAri,ICRS,2,51,29.5869,15,4,55.454,0.2084,-2.329,17,0.0068,5.49,14,480,
Aries,,ta-1Ari,ICRS,3,21,13.6245,21,8,49.51,0.144533333,-2.241,13.9,0.00706,5.28,20,543,
Aries,,thAri,ICRS,2,18,7.5365,19,54,4.189,-0.107133333,0.09,6,0.00842,5.69,19,340,
Aries,,zeAri,ICRS,3,14,54.0961,21,2,39.988,-0.198866667,-7.715,7,0.00959,4.89,20,527,
Auriga,Capella,alAur,ICRS,5,16,41.3591,45,59,52.768,0.503466667,-42.711,30.2,0.07729,0.08,45,1077,
Auriga,Menkalinan,beAur,ICRS,5,59,31.7229,44,56,50.758,-0.376066667,-0.088,-18.2,0.03972,1.9,44,1328,
Auriga,,chAur,ICRS,5,32,43.6729,32,11,31.278,-0.012066667,-0.4,-0.2,0.0008,4.76,32,1024,
Auriga,Prijipati,deAur,ICRS,5,59,31.6366,54,17,4.762,0.5754,-13.405,8.2,0.02322,3.72,54,970,
Auriga,Maaz,epAur,ICRS,5,1,58.1341,43,49,23.91,0.0012,-0.231,-2.5,0.0016,2.99,43,1166,
Auriga,Al Anz,epAur,ICRS,5,1,58.1341,43,49,23.91,0.0012,-0.231,-2.5,0.0016,2.99,43,1166,
Auriga,Hoedus II,etAur,ICRS,5,6,30.8928,41,14,4.108,0.204,-6.841,7.3,0.01487,3.17,41,1058,
Auriga,Hasseleh,ioAur,ICRS,4,56,59.6187,33,9,57.925,0.0242,-1.854,17.5,0.00637,2.69,32,855,
Auriga,Al Khabdhilinan,ioAur,ICRS,4,56,59.6187,33,9,57.925,0.0242,-1.854,17.5,0.00637,2.69,32,855,
Auriga,,kaAur,ICRS,6,15,22.6891,29,29,53.074,-0.472666667,-26.173,20.3,0.01931,4.35,29,1154,
Auriga,,laAur,ICRS,5,19,8.4745,40,5,56.586,3.4622,-66.474,65.7,0.07908,4.71,39,1248,
Auriga,,muAur,ICRS,5,13,25.7177,38,29,4.193,-0.1244,-7.241,21,0.02008,4.86,38,1063,
Auriga,,nuAur,ICRS,5,51,29.399,39,8,54.529,0.056533333,0.039,9.7,0.01517,3.97,39,1429,
Auriga,,omiAur,ICRS,5,45,54.0387,49,49,34.519,-0.074533333,-1.131,-6.4,0.00676,5.47,49,1398,
Auriga,,ps-1Aur,ICRS,6,24,53.9027,49,17,16.415,0.005466667,-0.248,4.7,0.00085,4.91,49,1488,
Auriga,,ps-5Aur,ICRS,6,46,44.3388,43,34,38.737,-0.001866667,16.549,-24,0.06056,5.25,43,1595,
Auriga,,ps-6Aur,ICRS,6,47,39.5761,48,47,22.115,-0.035,0.64,-7.7,0.00769,5.22,48,1436,
Auriga,Bogardus,thAur,ICRS,5,59,43.269,37,12,45.307,0.2806,-7.361,29.5,0.01883,2.54,41,1058,
Auriga,Manus,thAur,ICRS,5,59,43.269,37,12,45.307,0.2806,-7.361,29.5,0.01883,2.54,41,1058,
Auriga,,xiAur,ICRS,5,54,50.7821,55,42,25.008,-0.024333333,1.72,-11.8,0.01354,4.99,55,1027,
Auriga,Haedi,zeAur,ICRS,5,2,28.6869,41,4,33.015,0.0592,-2.143,12.8,0.00414,3.75,40,1142,
Auriga,Haedus,zeAur,ICRS,5,2,28.6869,41,4,33.015,0.0592,-2.143,12.8,0.00414,3.75,40,1142,
Auriga,Hoedus I,zeAur,ICRS,5,2,28.6869,41,4,33.015,0.0592,-2.143,12.8,0.00414,3.75,40,1142,
Auriga,Sadatoni,zeAur,ICRS,5,2,28.6869,41,4,33.015,0.0592,-2.143,12.8,0.00414,3.75,40,1142,
Bootes,Merga,38Boo,ICRS,14,49,18.6693,46,6,58.34,-0.049,-7.732,-4.7,0.02134,5.74,46,1993,
Bootes,Arcturus,alBoo,ICRS,14,15,39.672,19,10,56.677,-7.289533333,-199.943,-5.2,0.08885,-0.04,19,2777,
Bootes,Nekkar,beBoo,ICRS,15,1,56.7623,40,23,26.036,-0.268,-2.922,-19.9,0.01491,3.5,40,2840,
Bootes,Princeps,deBoo,ICRS,15,15,30.163,33,18,53.401,0.5656,-11.057,-12.3,0.02794,3.49,33,2561,
Bootes,Izar,epBoo,ICRS,14,44,59.2177,27,4,27.201,-0.337666667,2,-50.65,0.01555,2.7,27,2417,
Bootes,Mirak,epBoo,ICRS,14,44,59.2177,27,4,27.201,-0.337666667,2,-50.65,0.01555,2.7,27,2417,
Bootes,Pulcherrima,epBoo,ICRS,14,44,59.2177,27,4,27.201,-0.337666667,2,-50.65,0.01555,2.7,27,2417,
Bootes,Mufrid,etBoo,ICRS,13,54,41.0787,18,23,51.781,-0.406333333,-35.81,-0.1,0.08817,2.68,19,2725,
Bootes,Muphrid,etBoo,ICRS,13,54,41.0787,18,23,51.781,-0.406333333,-35.81,-0.1,0.08817,2.68,19,2725,
Bootes,Seginus,gaBoo,ICRS,14,32,4.6719,38,18,29.709,-0.770333333,15.187,-36.5,0.03829,3.03,38,2565,
Bootes,Haris,gaBoo,ICRS,14,32,4.6719,38,18,29.709,-0.770333333,15.187,-36.5,0.03829,3.03,38,2565,
Bootes,Asellus Secundus,ioBoo,ICRS,14,16,9.9294,51,22,2.033,-0.999866667,8.942,-18.7,0.03354,4.75,52,1784,
Bootes,Asellus Tertius,ka-2Boo,ICRS,14,13,29.0078,51,47,23.874,0.409266667,-1.057,-17.4,0.02103,4.54,52,1782,
Bootes,,laBoo,ICRS,14,16,23.0187,46,5,17.9,-1.249466667,15.901,-8.1,0.03358,4.18,46,1949,
Bootes,Alkalurops,mu-1Boo,ICRS,15,24,29.4278,37,22,37.8,-0.984533333,8.469,-12.5,0.02696,4.31,37,2636,
Bootes,,nu-1Boo,ICRS,15,30,55.7593,40,49,58.968,0.073466667,-0.881,-10.4,0.00374,5.02,41,2609,
Bootes,Ceginus,phBoo,ICRS,15,37,49.5973,40,21,12.358,0.403,5.957,-9.7,0.02,5.24,40,2907,
Bootes,,psBoo,ICRS,15,4,26.7417,26,56,51.536,-1.1754,-0.452,-25.5,0.01304,4.54,27,2447,
Bootes,Hemelein Prima,rhBoo,ICRS,14,31,49.7899,30,22,17.174,-0.6696,12.022,-13.7,0.02192,3.58,31,2628,
Bootes,Al Hamalain,rhBoo,ICRS,14,31,49.7899,30,22,17.174,-0.6696,12.022,-13.7,0.02192,3.58,31,2628,
Bootes,Hemelein Secunda,siBoo,ICRS,14,34,40.8171,29,44,42.468,1.255466667,13.272,0.2,0.06466,4.46,30,2536,
Bootes,,taBoo,ICRS,13,47,15.7429,17,27,24.862,-3.202266667,5.418,-15.6,0.06412,4.5,18,2782,
Bootes,Asellus Primus,thBoo,ICRS,14,25,11.7964,51,51,2.677,-1.573733333,-39.908,-10.9,0.06863,4.05,52,1804,
Caelum,,alCae,ICRS,4,40,33.7125,-41,51,49.509,-0.9412,-7.495,-0.6,0.04967,4.45,-42,1587,
Caelum,,beCae,ICRS,4,42,3.4806,-37,8,39.468,0.312666667,19.314,26.8,0.03616,5.05,-37,1867,
Caelum,,deCae,ICRS,4,30,50.0997,-44,57,13.498,0.016266667,-0.248,14.2,0.00459,5.07,-45,1567,
Camelopardalis,,alCam,ICRS,4,54,3.0113,66,20,33.641,0.003266667,0.731,6.1,0.00047,4.29,66,358,
Camelopardalis,,beCam,ICRS,5,3,25.0901,60,26,32.084,-0.040733333,-1.478,-1.7,0.00327,4.03,60,856,
Camelopardalis,,gaCam,ICRS,3,50,21.5091,71,19,56.156,0.1218,-4.2,-1,0.00973,4.63,70,259,
Cancer,Acubens,alCnc,ICRS,8,58,29.2217,11,51,27.723,0.276333333,-2.922,-13.8,0.01879,4.25,12,1948,
Cancer,Al Tarf,beCnc,ICRS,8,16,30.9206,9,11,7.961,-0.312,-4.865,22.3,0.01123,3.52,9,1917,
Cancer,,chCnc,ICRS,8,20,3.8603,27,13,3.745,-0.122533333,-37.625,32.5,0.05517,5.14,27,1589,
Cancer,Asellus Australis,deCnc,ICRS,8,44,41.0996,18,9,15.511,-0.114,-22.846,17.1,0.02397,3.94,18,2027,
Cancer,,etCnc,ICRS,8,32,42.4969,20,26,28.183,-0.297666667,-4.471,23.8,0.01046,5.33,20,2109,
Cancer,Asellus Borealis,gaCnc,ICRS,8,43,17.1461,21,28,6.602,-0.712933333,-3.925,28.7,0.02058,4.67,21,1895,
Cancer,Decapoda,ioCnc,ICRS,8,46,41.8205,28,45,35.634,-0.13793,-4.395,15.7,0.01094,4.02,29,1824,
Cancer,,kaCnc,ICRS,9,7,44.8123,10,40,5.488,-0.135733333,-0.996,24.2,0.00674,5.24,11,1984,
Cancer,,ome-1Cnc,ICRS,8,0,55.8737,25,23,34.209,0.118533333,0.649,1.9,0.0029,5.88,25,1812,
Cancer,,si-3Cnc,ICRS,8,59,32.6539,32,25,6.813,-0.295533333,-3.461,23.3,0.01019,5.2,32,1821,
Cancer,,xiCnc,ICRS,9,9,21.5337,22,2,43.604,-0.0032,-0.07,-7.4,0.00857,5.14,22,2061,
Cancer,Tegmen,zeCnc,ICRS,8,12,12.851,17,38,52.75,0.49533,-11.9,-5.7,0.0417,5.6,18,1867,
Cancer,Tegmine,zeCnc,ICRS,8,12,12.851,17,38,52.75,0.49533,-11.9,-5.7,0.0417,5.6,18,1867,
Canes Venatici,Cor Caroli,al-2CVn,ICRS,12,56,1.6674,38,19,6.167,-1.5562,5.498,-3.3,0.0296,2.9,39,2580,
Canes Venatici,Asterion,beCVn,ICRS,12,33,44.5446,41,21,26.927,-4.7004,29.291,6.9,0.11946,4.26,42,2321,
Canes Venatici,Chara,beCVn,ICRS,12,33,44.5446,41,21,26.927,-4.7004,29.291,6.9,0.11946,4.26,42,2321,
Canis Major,Sirius,alCMa,ICRS,6,45,8.9173,-16,42,58.017,-3.640333333,-122.314,-7.6,0.37921,-1.46,-16,1591,
Canis Major,Mirzam,beCMa,ICRS,6,22,41.9853,-17,57,21.304,-0.023,-0.047,33.7,0.00653,1.98,-17,1467,
Canis Major,Murzim,beCMa,ICRS,6,22,41.9853,-17,57,21.304,-0.023,-0.047,33.7,0.00653,1.98,-17,1467,
Canis Major,Wezen,deCMa,ICRS,7,8,23.4843,-26,23,35.519,-0.018333333,0.333,34.3,0.00182,1.86,-26,3916,
Canis Major,Adara,epCMa,ICRS,6,58,37.5485,-28,58,19.501,0.017533333,0.229,27.3,0.00757,1.5,-28,3666,
Canis Major,Adhara,epCMa,ICRS,6,58,37.5485,-28,58,19.501,0.017533333,0.229,27.3,0.00757,1.5,-28,3666,
Canis Major,Aludra,etCMa,ICRS,7,24,5.7025,-29,18,11.173,-0.025066667,0.666,41.1,0.00102,2.44,-29,4328,
Canis Major,Muliphein,gaCMa,ICRS,7,3,45.4927,-15,37,59.83,-0.0054,-1.12,32,0.00811,4.11,-15,1625,
Canis Major,Isis,gaCMa,ICRS,7,3,45.4927,-15,37,59.83,-0.0054,-1.12,32,0.00811,4.11,-15,1625,
Canis Major,,kaCMa,ICRS,6,49,50.4591,-32,30,30.52,-0.0612,0.404,14,0.00413,3.96,-32,3404,
Canis Major,,omi-2CMa,ICRS,7,3,1.4726,-23,49,59.847,-0.0104,0.428,48.4,0.00127,3.03,-23,4797,
Canis Major,,siCMa,ICRS,7,1,43.1477,-27,56,5.389,-0.040066667,0.464,21.5,0.00268,3.46,-27,3544,
Canis Major,,thCMa,ICRS,6,54,11.3978,-12,2,19.06,-0.926933333,-1.447,97.3,0.01294,4.07,-11,1681,
Canis Major,,xi-2CMa,ICRS,6,35,3.3882,-22,57,53.255,0.0874,1.652,26,0.00792,4.54,-22,1458,
Canis Major,Furud,zeCMa,ICRS,6,20,18.7925,-30,3,48.122,0.053333333,0.381,32.2,0.0097,3.02,-30,3038,
Canis Minor,Procyon,alCMi,ICRS,7,39,18.1183,5,13,29.975,-4.7772,-103.46,-3.2,0.28593,0.38,5,1739,
Canis Minor,Gomeisa,beCMi,ICRS,7,27,9.0427,8,17,21.536,-0.3352,-3.845,22,0.01916,2.9,8,1774,
Canis Minor,,zeCMi,ICRS,7,51,41.9887,1,46,0.726,-0.093133333,-0.378,32.3,0.00776,5.14,2,1808,
Capricornus,,24Cap,ICRS,21,7,7.6679,-25,0,21.072,-0.181266667,-4.337,31.9,0.00624,4.531,0,0,
Capricornus,,36Cap,ICRS,21,28,43.4002,-21,48,25.848,0.893133333,-0.547,-22.2,0.01818,4.513,0,0,
Capricornus,Algedi,al-1Cap,ICRS,20,17,38.8694,-12,30,29.564,0.148266667,0.075,-26.1,0.00475,4.24,-12,5683,
Capricornus,Giedi Prima,al-1Cap,ICRS,20,17,38.8694,-12,30,29.564,0.148266667,0.075,-26.1,0.00475,4.24,-12,5683,
Capricornus,Algedi,al-2Cap,ICRS,20,18,3.2554,-12,32,41.467,0.411866667,0.285,0.1,0.03001,3.56,-12,5685,
Capricornus,Giedi Secunda,al-2Cap,ICRS,20,18,3.2554,-12,32,41.467,0.411866667,0.285,0.1,0.03001,3.56,-12,5685,
Capricornus,Dabih,beCap,ICRS,20,21,0.6757,-14,46,52.922,0.3228,1.4,-18.9,0.00948,3.08,-15,5629,
Capricornus,Deneb Algedi,deCap,ICRS,21,47,2.4451,-16,7,38.229,1.755066667,-29.623,-6.3,0.08458,2.87,-16,5943,
Capricornus,Castra,epCap,ICRS,21,37,4.8311,-19,27,57.642,0.089866667,0.081,-23.7,0.00492,4.64,-20,6251,
Capricornus,Armus,etCap,ICRS,21,4,24.3004,-19,51,17.966,-0.260066667,-2.445,23.8,0.02064,4.84,-20,6115,
Capricornus,Nashira,gaCap,ICRS,21,40,5.4563,-16,39,44.308,1.249266667,-2.233,-31.2,0.02348,3.68,-17,6340,
Capricornus,,ioCap,ICRS,21,22,14.7962,-16,50,4.353,0.205533333,0.526,11.5,0.01513,4.28,-17,6245,
Capricornus,,laCap,ICRS,21,46,32.0983,-11,21,57.436,0.2024,-0.925,1,0.0111,5.43,-12,6087,
Capricornus,,muCap,ICRS,21,53,17.7717,-13,33,6.365,2.086866667,1.367,-21.5,0.03615,5.08,-14,6149,
Capricornus,Alshat,nuCap,ICRS,20,20,39.8161,-12,45,32.687,0.104733333,-1.463,-2,0.01198,4.76,-13,5642,
Capricornus,Baten Algiedi,omeCap,ICRS,20,51,49.291,-26,55,8.877,-0.053133333,-0.254,9,0.00519,4.11,-27,15082,
Capricornus,Oculus,piCap,ICRS,20,27,19.2098,-18,12,42.195,0.0688,-1.087,-13,0.0049,5.25,-18,5685,
Capricornus,Pazan,psCap,ICRS,20,46,5.733,-25,16,15.231,-0.342533333,-15.666,25.8,0.06816,4.14,-25,15018,
